Time[s], Channel 7, Channel 9
25.221874000000000, 0, 0
25.369707999999999, 0, 1
25.370113999999997, 0, 0
25.442087999999998, 1, 0
25.442097999999998, 0, 0
25.671937999999997, 0, 1
25.672345999999997, 0, 0
25.772425999999999, 1, 0
25.772435999999999, 0, 0
25.974167999999999, 0, 1
25.974575999999999, 0, 0
25.992652000000000, 1, 0
25.992661999999999, 0, 0
26.276733999999998, 0, 1
26.277220000000000, 0, 0
26.322989999999997, 1, 0
26.323000000000000, 0, 0
26.578934000000000, 0, 1
26.579342000000000, 0, 0
26.653327999999998, 1, 0
26.653337999999998, 0, 0
26.881163999999998, 0, 1
26.881571999999998, 0, 0
26.983665999999999, 1, 0
26.983677999999998, 0, 0
27.183394000000000, 0, 1
27.183802000000000, 0, 0
27.203892000000000, 1, 0
27.203901999999999, 0, 0
27.485623999999998, 0, 1
27.486031999999998, 0, 0
27.534213999999999, 1, 0
27.534226000000000, 0, 0
27.788263999999998, 0, 1
27.788751999999999, 0, 0
27.864567999999998, 1, 0
27.864580000000000, 0, 0
28.090481999999998, 0, 1
28.090888000000000, 0, 0
28.194906000000000, 1, 0
28.194917999999998, 0, 0
28.392712000000000, 0, 1
28.393117999999998, 0, 0
28.635358000000000, 1, 0
28.635368000000000, 0, 0
28.694941999999998, 0, 1
28.695349999999998, 0, 0
28.745469999999997, 1, 0
28.745481999999999, 0, 0
28.997171999999999, 0, 1
28.997579999999999, 0, 0
29.075807999999999, 1, 0
29.075820000000000, 0, 0
29.299844000000000, 0, 1
29.300293999999997, 0, 0
29.406146000000000, 1, 0
29.406157999999998, 0, 0
29.602059999999998, 0, 1
29.602467999999998, 0, 0
29.626372000000000, 1, 0
29.626383999999998, 0, 0
29.904290000000000, 0, 1
29.904698000000000, 0, 0
29.956709999999998, 1, 0
29.956721999999999, 0, 0
30.206519999999998, 0, 1
30.206927999999998, 0, 0
30.287047999999999, 1, 0
30.287060000000000, 0, 0
30.508749999999999, 0, 1
30.509157999999999, 0, 0
30.617386000000000, 1, 0
30.617397999999998, 0, 0
30.811363999999998, 0, 1
30.811851999999998, 0, 0
30.837613999999999, 1, 0
30.837623999999998, 0, 0
31.113577999999997, 0, 1
31.113983999999999, 0, 0
31.167949999999998, 1, 0
31.167961999999999, 0, 0
31.415807999999998, 0, 1
31.416214000000000, 0, 0
31.718038000000000, 0, 1
31.718498000000000, 1, 1
31.718509999999998, 0, 1
31.718859999999999, 0, 0
31.938739999999999, 1, 0
31.938749999999999, 0, 0
32.020268000000002, 0, 1
32.020674000000000, 0, 0
32.048851999999997, 1, 0
32.048864000000002, 0, 0
32.322924000000000, 0, 1
32.323409999999996, 0, 0
32.489303999999997, 1, 0
32.489314000000000, 0, 0
32.625126000000002, 0, 1
32.625532000000000, 0, 0
32.709527999999999, 1, 0
32.709539999999997, 0, 0
32.927355999999996, 0, 1
32.927762000000001, 0, 0
33.039867999999998, 1, 0
33.039878000000002, 0, 0
33.229585999999998, 0, 1
33.229991999999996, 0, 0
33.260092000000000, 1, 0
33.260103999999998, 0, 0
33.531815999999999, 0, 1
33.532221999999997, 0, 0
33.590429999999998, 1, 0
33.590441999999996, 0, 0
33.834046000000001, 0, 1
33.834451999999999, 0, 0
34.030881999999998, 1, 0
34.030893999999996, 0, 0
34.136275999999995, 0, 1
34.136682000000000, 0, 0
34.251075999999998, 1, 0
